name,line
ELLA, How’s your blog going? 
JOHN," Mmm, fine! Good. Very good. "
ELLA, Written much? 
ELLA," John, it’s going to take you a while to adjust to civilian life ... "
JOHN, Sure. 
ELLA, ... and it will help so much to write about everything that’s happening to you. 
JOHN, Nothing happens to me. 
ANDERSON," As far as we can see, no marks on the body, no identification. "
LESTRADE, Same as the others? 
ANDERSON," Um, you’re not phoning ... him, are you? ’Cause we can handle this. We can absolutely handle it. "
LESTRADE, You’ve got work to do. 
MIKE, John! John Watson! 
MIKE, Stamford. Mike Stamford. We were at Bart’s together. 
JOHN," Yes, sorry, yes, Mike. (He takes Mike’s offered hand and shakes it.) Hello. "
MIKE," I heard you were abroad somewhere, getting shot at. What happened? "
JOHN," So you’re still at Bart’s, then? "
MIKE," Teaching now. Bright young things, like we used to be. God, I hate them! "
MIKE, What about you? Staying in town ’til you get yourself sorted? 
JOHN, Can’t afford London on an Army pension. 
JOHN, Who’d want me for a flatmate? 
JOHN, What? 
MIKE," Well, you’re the second person to say that to me today. "
JOHN, Who was the first? 
SHERLOCK, How fresh? 
MOLLY," Just in. Sixty-seven, natural causes. He used to work here – donated his body. I knew him. He was nice. "
SHERLOCK, Fine. We’ll start with the riding crop. 
SHERLOCK, I need to know what bruises form in the next twenty minutes. A man’s alibi depends on it. Text me. 
 I was wondering, maybe later ... 
SHERLOCK, Are you wearing lipstick? You weren’t wearing lipstick before. 
MOLLY, I just refreshed it a bit. 
SHERLOCK," Sorry, you were saying? "
SHERLOCK," Black, two sugars, please. I’ll be upstairs. "
MOLLY, ... Okay. 
 and the subject line reads, “Re: An impossible situation”. He types into the message box: 
uk , Please call me 
org , An impossible situation 
uk , RE: Church bell theft 
org , The curious cow 
com , Samson and Del 
net , Strange substance in pocket 
re, RE: Church bell theft”. In the message box he types: 
 The message reads simply, 
JOHN," Well, it’s a bit different from my day. "
SHERLOCK, I’d rather text. 
MIKE, Sorry. Other coat. 
JOHN," Oh, here. Use mine. "
MIKE," It’s an old mate of mine, John Watson. "
SHERLOCK, Afghanistan or Iraq? 
JOHN," Afghanistan. Sorry, how did you know ...? "
SHERLOCK," Ah, coffee. Thank you, Molly. "
SHERLOCK, What happened to the lipstick? 
SHERLOCK, Really? I thought it was a big improvement. Mouth’s too small now. 
JOHN," I’m sorry, what? "
JOHN," Oh, you told him about me? "
JOHN, How did you know about Afghanistan? 
SHERLOCK, Got my eye on a nice little place in central London. Together we could afford it. We’ll meet there tomorrow evening; seven o’clock. 
SHERLOCK, Sorry – I’ve gotta dash. I think I left my riding crop in the mortuary. 
JOHN, Is that it? 
SHERLOCK, Is that what? 
JOHN, We’ve just met and we’re gonna go and look at a flat? 
SHERLOCK, Problem? 
JOHN, We don’t know a thing about each other; I don’t know your name; I don’t even know where we’re meeting. 
SHERLOCK, I know you’re an Army doctor and you’ve recently been invalided home from Afghanistan. I know you’ve got a brother with a bit of money who’s worried about you but you won’t go to him for help because you don’t approve of him – possibly because he’s an alcoholic; more likely because he recently walked out on his wife. 
SHERLOCK," And I know your therapist thinks your limp’s psychosomatic – quite correctly, I’m afraid. "
SHERLOCK," That’s enough to be going on with, don’t you think? "
SHERLOCK, The name’s Sherlock Holmes and the address is two two one B Baker Street. 
SHERLOCK, Afternoon. 
MIKE, Yeah. He’s always like that. 
SHERLOCK," Mrs Hudson, our landlady. "
JOHN," Ah, Mr Holmes. "
SHERLOCK," Sherlock, please. "
SHERLOCK," Getting a special rate. Owes me a favour. A few years ago, her husband got himself sentenced to death in Florida. I was able to help out. "
JOHN, You stopped her husband being executed? 
SHERLOCK, Oh no. I ensured it. 
MRS HUDSON," Sherlock, hello. "
MRS HUDSON," Come in, come in! "
JOHN," Well, this could be very nice. Very nice indeed. "
SHERLOCK," Yes, I think so. My thoughts exactly. "
SHERLOCK, So I went ahead and moved in. 
JOHN, So ... this is all your stuff. 
SHERLOCK, Obviously I can straighten things up ... a bit. 
JOHN, That’s a real skull. 
SHERLOCK," Friend of mine. Well, I say ‘friend’ ... "
MRS HUDSON," What d’you think, Doctor Watson? "
JOHN," Well, of course we’ll be needing two. "
MRS HUDSON," Oh, don’t worry; there’s all sorts round here. Mrs Turner next door’s got married ones. "
MRS HUDSON, Sherlock. The mess you’ve made. 
JOHN," Oh, I, um, looked you up on the internet last night. "
JOHN," Found your website, The Science of Deduction. "
SHERLOCK, What did you think? 
JOHN," Quite amusing, I suppose. "
SHERLOCK, “Amusing”? 
JOHN, You said you could identify a software designer by his tie and – what was it? – a retired plumber by his left hand. 
SHERLOCK," Yes; and I can read your military career by your face and your leg, and your brother’s drinking habits by your mobile phone. "
SHERLOCK, You read the article. 
JOHN, The article was absurd. 
MRS HUDSON," What about these suicides then, Sherlock? Thought that’d be right up your street. Been a fourth one now. "
SHERLOCK," Yes, actually. Very much up my street. "
 Can I just ask, what is your street? 
SHERLOCK, Where this time? 
LESTRADE," Brixton, Lauriston Gardens. Will you come? "
SHERLOCK, Who’s on forensics? 
LESTRADE, It’s Anderson. 
SHERLOCK, Anderson won’t work with me. 
LESTRADE, He won’t be your assistant. 
SHERLOCK, But I need an assistant. 
LESTRADE, Will you come? 
SHERLOCK, Not in a police car. I’ll be right behind. 
LESTRADE, Thank you. 
SHERLOCK, Oh! Brilliant! 
SHERLOCK, Thought it was gonna be a dull evening. 
SHERLOCK," Mrs Hudson, I may be out late. Might need some food. "
MRS HUDSON," I’m your landlady, dear, not your housekeeper. "
SHERLOCK," Something cold will do. John, make yourself at home. Er, have a cup of tea. Don’t wait up. "
MRS HUDSON," Look at him, dashing about! My husband was just the same. "
MRS HUDSON," But you’re more the sitting-down type, I can tell. "
JOHN, I’m sorry. I’m so sorry. It’s just that sometimes this bloody thing ... 
MRS HUDSON," I understand, dear; I’ve got a hip. "
JOHN," A cup of tea would be lovely, thank you. "
MRS HUDSON," Just this once, dear. I’m not your housekeeper. "
SHERLOCK, You’re a doctor. 
SHERLOCK, In fact you’re an Army doctor. 
SHERLOCK, Any good? 
JOHN, Very good. 
SHERLOCK," Seen a lot of injuries, then; violent deaths. "
JOHN," Well, yes. "
SHERLOCK," Bit of trouble too, I bet. "
SHERLOCK, Wanna see some more? 
SHERLOCK," Come on, then. "
JOHN," Sorry, Mrs Hudson, I’ll skip the cuppa. Off out. "
SHERLOCK, No point sitting at home when there’s finally some halfway interesting murders! 
MRS HUDSON," Look at you, all happy. It’s not decent. "
SHERLOCK, Taxi! 
SHERLOCK," Okay, you’ve got questions. "
JOHN, Where are we going? 
SHERLOCK, Crime scene. There’s been a murder. Next? 
JOHN, Who are you? What do you do? 
SHERLOCK, What do you think? 
JOHN," I’d say private detective, but ... "
SHERLOCK, But? 
JOHN, ... the police don’t go to private detectives. 
SHERLOCK, I’m a consulting detective. I’m the only one in the world. I invented the job. 
JOHN, What does that mean? 
SHERLOCK," It means when the police are out of their depth, which is always, they consult me. "
JOHN," But the police don’t consult ... (he pauses for a long moment, apparently reluctant to use the word) ... amateurs. "
SHERLOCK," When I met you for the first time yesterday and asked, “Afghanistan or Iraq?” you looked surprised. "
JOHN, How did you know? 
SHERLOCK," I didn’t know, I saw. "
SHERLOCK," Tanned face but no tan above the wrists. You’ve been abroad, but not sunbathing. Your haircut and the way you hold yourself says military. Your conversation when you entered the room ... "
